State,Total_enrollees,Total_program_payments,Payments_per_enrollee,Part_a_payments,Part_b_payments,Beneficiary_cost_sharing
Alabama,471490,5339582525,11325,2436050598,2903531927,895894183
Alaska,111904,1186174763,10600,495993530,690181233,211706097
Arizona,745551,8952374023,12008,3535126514,5417247508,1560200438
Arkansas,382179,4227322195,11061,1925230353,2302091842,756672264
California,3401066,47902545961,14085,23672209013,24230336948,6965749443
Colorado,497942,5164726520,10372,2096586955,3068139565,948660539
Connecticut,331320,4252193073,12834,2011261851,2240931222,672116917
Delaware,166824,2043727122,12251,879855382,1163871740,347440796
District of Columbia,65489,778641663,11890,400998131,377643531,123315850
Florida,2281358,30443112927,13344,13474090052,16969022875,5158403942
Georgia,892976,10070771159,11278,4602716026,5468055133,1692295959
Hawaii,141898,1166557323,8221,585126485,581430838,179533406
Idaho,204709,1998146145,9761,778327877,1219818268,390648766
Illinois,1402531,17159363399,12235,7561869669,9597493729,3103988867
Indiana,714450,8192816045,11467,3627018921,4565797124,1547932203
Iowa,436645,4590587295,10513,1797377524,2793209771,976704839
Kansas,395969,4605760001,11632,1897534132,2708225869,884787081
Kentucky,472390,5177345873,10960,2260073201,2917272672,934562323
Louisiana,427858,5387652946,12592,2507828942,2879824003,926080855
Maine,166638,1607432446,9646,701481238,905951208,298083178
Maryland,876946,11115225643,12675,5121459695,5993765948,1902434995
Massachusetts,947643,11820767680,12474,5699751262,6121016418,1850204587
Michigan,908653,10433848471,11483,4810441062,5623407410,1788481552
Minnesota,474449,5803680831,12232,2695720697,3107960134,1059448131
Mississippi,382355,4755569230,12438,1995876446,2759692784,861065439
Missouri,640569,7245669643,11311,3309219497,3936450146,1318938526
Montana,185502,1701135502,9170,628588811,1072546691,356589682
Nebraska,255499,2986645922,11689,1254236861,1732409060,603086225
Nevada,299208,3745876892,12519,1771201740,1974675152,613049260
New Hampshire,225191,2250080389,9992,1001163861,1248916528,417892598
New Jersey,1055481,13901609930,13171,6382204159,7519405771,2321345099
New Mexico,234663,2224939190,9481,952025308,1272913882,408265425
New York,1908935,26993244782,14140,13628730475,13364514308,4340308931
North Carolina,1032625,11048049458,10699,4805043538,6243005920,1931658664
North Dakota,99429,1205574900,12125,506615964,698958937,237838849
Ohio,1143769,12713965300,11116,6190789961,6523175339,2161347976
Oklahoma,489813,6051914870,12356,2739141718,3312773152,994878954
Oregon,434831,4139939529,9521,1820976668,2318962862,767930980
Pennsylvania,1414949,16176650805,11433,7407106220,8769544585,2697142060
Rhode Island,101857,1093869013,10739,528306157,565562856,168946955
South Carolina,679323,7566251892,11138,3223206888,4343045004,1292066090
South Dakota,129078,1608856011,12464,671432259,937423752,331105356
Tennessee,716709,7686665869,10725,3349925717,4336740152,1348013548
Texas,2229266,28479077221,12775,13622578916,14856498305,4466364462
Utah,228523,2440325696,10679,986906432,1453419264,419417708
Vermont,112406,1168838662,10398,524063235,644775428,222993035
Virginia,1053211,10751905464,10209,4591931951,6159973513,1882031457
Washington,815011,7730710123,9485,3256706379,4474003744,1437313135
West Virginia,220635,2498417703,11324,1199344950,1299072752,457115403
Wisconsin,579505,6399961405,11044,2893099378,3506862027,1223419496
Wyoming,107258,1109101308,10341,447616001,661485307,226996987
